x,y,z
1123082.75148,1778545.44373,3841.13336556
1123081.10845,1778550.1753,3841.13379492
1123079.41055,1778545.53617,3841.1563782
1123080.98032,1778541.13646,3841.15411427
1123084.04396,1778541.04126,3841.1290856
1123085.58043,1778545.81289,3841.10665968
1123084.23224,1778550.25772,3841.10901607
1123076.29996,1778547.87174,3841.16533244
1123077.5087,1778544.65498,3841.16836359
1123077.84974,1778549.96647,3841.15254719
1123074.74313,1778545.79463,3841.17601387
1123076.32163,1778541.27435,3841.18042831
1123079.09307,1778540.14299,3841.16790273
1123011.57009,1778456.46992,3840.94887844
1123010.00821,1778451.96311,3840.93515153
1123012.04895,1778451.02528,3840.96859227
1123013.43819,1778456.73477,3840.97694142
1123013.03124,1778461.89382,3840.95631063
1123010.62893,1778460.7433,3840.91901447
1123008.86679,1778455.60766,3840.90506565
1123006.99519,1778456.55151,3840.86510881
1123005.55695,1778451.95868,3840.85211558
1123007.82749,1778452.11159,3840.89671864
1123008.46202,1778461.12256,3840.8760063
1123006.27317,1778461.02058,3840.82902828
1123004.79502,1778457.12668,3840.81356413
1123040.07723,1778409.97484,3840.96233813
1123038.51522,1778411.68817,3840.97819208
1123038.68068,1778406.81943,3840.94384065
1123041.62382,1778407.28714,3840.93818378
1123041.68763,1778412.44541,3840.97366184
1123040.05519,1778416.21376,3841.00262179
1123098.26335,1778407.50177,3838.26116536
1123100.36949,1778411.64236,3838.2645645
1123098.37119,1778411.80031,3838.3233929
1123103.00099,1778412.52181,3838.24714167
1123101.49838,1778414.5683,3838.28755756
1123100.38929,1778415.99898,3838.33371084
1123100.34068,1778406.46562,3838.2057833
1123101.49838,1778409.67199,3838.22736738
1123152.25285,1778337.07672,3841.0383764
1123150.57386,1778341.12657,3841.05519183
1123150.31628,1778336.26949,3841.00198735
1123153.09028,1778339.76856,3841.07762061
1123161.68436,1778256.40193,3835.73118141
1123160.61276,1778260.56837,3835.75565275
1123159.76008,1778256.08735,3835.79074869
1123160.80494,1778250.9986,3835.76992125
1123162.78924,1778251.79883,3835.71077409
1123162.55004,1778260.63844,3835.70158844
1123163.59055,1778256.11388,3835.68153724
1123079.59377,1778331.67826,3840.72299016
1123080.11469,1778337.26562,3840.78568226
1123078.20852,1778336.78299,3840.7249431
1123081.54562,1778332.577,3840.78850738
1123020.02654,1778199.00594,3841.67795833
1123018.66345,1778202.65995,3841.71904593
1123018.86729,1778198.93554,3841.74206074
1123019.71571,1778193.60652,3841.73735829
1123021.00913,1778193.97656,3841.6655578
1123019.55063,1778202.65995,3841.66663496
1123021.34367,1778198.17869,3841.59914098
1123020.1086,1778203.60656,3841.61409985
1123068.43097,1778140.25255,3836.58911164
1123068.42399,1778144.531,3836.65176342
1123066.46748,1778144.28956,3836.5952954
1123070.32279,1778136.64329,3836.57701868
1123070.36062,1778141.17676,3836.64212251
1123066.3304,1778139.67456,3836.5305002
1123068.46379,1778135.43825,3836.52645271
1123117.40032,1778179.86155,3837.39173853
1123115.86221,1778179.8122,3837.45911525
1123115.35988,1778177.68898,3837.37724419
1123120.07334,1778182.26102,3837.37595838
1123118.53377,1778182.05823,3837.44431844
1123116.94772,1778177.60969,3837.31106717
1123118.94699,1778179.89274,3837.3244306
1123129.50839,1778076.97691,3835.3476891
1123129.70868,1778082.4017,3835.38476712
1123127.94333,1778078.7482,3835.35965603
1123128.27171,1778075.56363,3835.35024142
1123129.78721,1778073.00522,3835.35996478
1123131.56823,1778078.10916,3835.37490518
1123068.38643,1778064.36721,3842.93690205
1123071.71108,1778064.1932,3842.93764248
1123070.00097,1778069.03945,3842.94488684
1123066.69467,1778068.85903,3842.93785427
1123065.25771,1778064.52228,3842.92489407
1123066.83437,1778060.02358,3842.92190138
1123069.99933,1778060.07538,3842.92953174
1122811.55032,1778256.34997,3842.67653179
1122810.35268,1778251.76415,3842.66468795
1122812.56599,1778251.65938,3842.69967423
1122813.68508,1778256.19345,3842.71730298
1122813.02034,1778261.62727,3842.69628125
1122810.33459,1778260.60222,3842.6535881
1122808.85774,1778255.14057,3842.64195036
1122992.81883,1778179.93233,3842.14479285
1122992.84388,1778185.26303,3842.17778844
1122991.25529,1778182.79604,3842.16504582
1122989.69958,1778179.98089,3842.14435012
1122996.17778,1778180.1772,3842.13857186
1122994.40509,1778182.98579,3842.1621996
1122991.25052,1778176.22695,3842.11590485
1122994.42253,1778176.26171,3842.11387339
1122996.85154,1778064.57065,3833.5256663
1122996.80719,1778068.18709,3833.58172909
1122996.1103,1778069.09555,3833.51775667
1122996.49054,1778061.06558,3833.50359196
1122997.74847,1778060.72904,3833.58643465
1122997.24945,1778064.57065,3833.58172909
1122995.30253,1778064.57065,3833.47683661
1122961.43185,1778376.49759,3840.2523593
1122961.67601,1778371.02846,3840.30216501
1122962.90707,1778374.25166,3840.29828379
1122959.68798,1778371.68571,3840.2609559
1122964.34349,1778371.90927,3840.34096672
1122964.10352,1778377.3698,3840.29429464
1122962.65029,1778367.94512,3840.34196587
1122965.10372,1778366.76095,3840.38919973
1122966.29882,1778371.28692,3840.37718257
1122967.23162,1778368.58615,3840.4091896
1122968.89083,1778372.46662,3840.40918203
1122967.92206,1778375.61087,3840.37317321
1122965.99415,1778376.36801,3840.33545542
1122929.94504,1778269.4766,3840.3866827
1122932.68439,1778270.55801,3840.4260231
1122931.17082,1778273.82766,3840.40230454
1122931.1513,1778265.10386,3840.40354926
1122933.26808,1778266.10071,3840.43569909
1122934.77744,1778269.15948,3840.45604878
1122933.64215,1778273.93185,3840.43599624
1122817.38123,1778270.28976,3843.41484564
1122816.07667,1778264.78646,3843.41333323
1122818.03373,1778265.0017,3843.46874518
1122819.60769,1778269.61389,3843.46279422
1122819.54007,1778274.15759,3843.40728272
1122817.35181,1778274.6859,3843.34946184
1122815.74304,1778270.55745,3843.35301411
1122806.72683,1778256.08123,3842.61693485
1122805.33138,1778251.64755,3842.60366506
1122807.82992,1778251.65938,3842.63333922
1122808.38085,1778260.45973,3842.62996486
1122805.54202,1778260.4147,3842.598044
1122803.75622,1778256.15678,3842.5806285
1122806.79921,1778264.80538,3842.6049829
1122809.35483,1778265.02286,3842.63545995
1122808.34406,1778269.68064,3842.61141504
1122805.67765,1778268.69253,3842.57924513
1122804.16503,1778263.98544,3842.57281382
1123071.57967,1778545.76825,3841.18218908
1123069.99539,1778549.55911,3841.16991028
1123068.42138,1778545.78122,3841.18221001
1123070.02804,1778540.65336,3841.19656647
1123073.15529,1778541.23806,3841.19090717
1123072.77686,1778549.2233,3841.16976788
1122957.75094,1778373.10918,3840.2114448
1122955.6699,1778371.17289,3840.18708816
1122956.27269,1778368.35724,3840.22407062
1122958.14467,1778367.45313,3840.26722227
1122959.21236,1778377.01898,3840.20470142
1122956.91648,1778375.59107,3840.17162962
1123250.8264,1778311.19307,3838.58085753
1123249.17566,1778311.50232,3838.6462538
1123248.18469,1778308.92239,3838.59406309
1123251.0829,1778314.57907,3838.66198335
1123252.68306,1778314.44699,3838.59388642
1123249.77998,1778308.72453,3838.52875248
1123331.54908,1778202.39149,3836.00422297
1123331.1438,1778207.9883,3836.02855426
1123329.49952,1778203.53763,3836.02555341
1123329.88671,1778198.16957,3835.98838504
1123333.94156,1778203.1064,3835.97439491
1123333.25169,1778206.84798,3835.99905979
1123332.74347,1778198.84219,3835.96634462
1123197.95783,1778376.38386,3842.14214992
1123196.39271,1778381.8729,3842.14796285
1123196.09098,1778376.31271,3842.1819518
1123196.39824,1778370.85629,3842.14715089
1123198.46743,1778372.54605,3842.11771963
1123198.43872,1778380.18993,3842.11652969
1123200.07526,1778376.3852,3842.08008041
1123092.54576,1778545.5659,3841.01590545
1123090.82315,1778551.22381,3841.02997138
1123090.28048,1778545.7105,3841.0500867
1123091.42816,1778541.20147,3841.03893937
1123093.71661,1778541.17906,3841.00126272
1123093.49979,1778549.95887,3840.99128093
1123095.04036,1778545.79634,3840.9718153
1123292.37727,1778064.39701,3834.3861887
1123291.27693,1778060.70466,3834.4403258
1123291.39206,1778059.17275,3834.38353794
1123292.50856,1778069.02515,3834.38353794
1123291.91025,1778068.92476,3834.44978555
1123291.81545,1778064.57065,3834.45035534
1123291.90533,1778060.12066,3834.31730972
1123292.75139,1778068.96313,3834.32348699
1123292.65628,1778064.57065,3834.31672054
1123232.21048,1778193.57786,3836.07247809
1123230.43094,1778198.27134,3836.05452874
1123229.06718,1778193.54839,3836.07366344
1123230.64029,1778191.26232,3836.08346074
1123232.23165,1778188.77371,3836.09259436
1123234.16778,1778190.17806,3836.08322064
1123235.35736,1778193.63733,3836.06728497
1123233.69972,1778198.16009,3836.05363276
1123291.25138,1778064.57065,3834.50329919
1123290.96233,1778069.30155,3834.52705694
1123290.14875,1778065.16548,3834.576934
1123290.31877,1778060.3996,3834.51281425
1123224.411,1778077.92616,3836.7939548
1123222.79838,1778082.19385,3836.78671078
1123222.44849,1778077.13182,3836.83028568
1123223.94411,1778072.39012,3836.84299414
1123226.03372,1778073.46356,3836.79894536
1123227.10238,1778076.86563,3836.75647089
1123225.91559,1778080.09245,3836.75452182
1123224.69498,1778083.31087,3836.75101229
1123190.80025,1778376.36839,3842.15173852
1123192.78066,1778376.35173,3842.18461098
1123192.38582,1778382.00593,3842.14936861
1123192.52903,1778371.21764,3842.15835882
1123194.43804,1778372.36632,3842.17381847
1123194.41989,1778380.55389,3842.18088946
1123249.11578,1778314.4177,3838.71977417
1123249.58987,1778318.64354,3838.79022706
1123247.51262,1778315.0116,3838.77558841
1123246.65972,1778312.64073,3838.73591997
1123251.13928,1778317.94608,3838.72946377
1123247.9642,1778311.97878,3838.69050453
1123249.3595,1778247.25183,3836.11300494
1123251.11401,1778250.46222,3836.13874795
1123249.58715,1778252.07577,3836.17975365
1123252.65365,1778247.93125,3836.11257709
1123252.64466,1778252.29772,3836.17513529
1123241.16486,1777802.50083,3838.05032247
1123240.02196,1777797.32691,3838.04926019
1123241.98696,1777797.25341,3838.00339689
1123243.31288,1777801.90359,3837.99543707
1123238.48401,1777792.84655,3838.05487399
1123238.16454,1777798.37553,3838.09433517
1123236.61839,1777793.77432,3838.09775554
1123236.91049,1777788.38133,3838.05536462
1123239.18159,1777787.53225,3838.00211139
1123240.68363,1777792.03318,3838.0013158
1123232.35745,1777788.40105,3838.13515865
1123231.82902,1777793.92276,3838.18050061
1123230.36628,1777789.09443,3838.16996908
1123230.63282,1777783.87571,3838.12639803
1123233.97564,1777792.81171,3838.13892129
1123232.59631,1777782.98633,3838.08893314
1123233.79009,1777786.02184,3838.0940483
1123235.0259,1777789.31412,3838.09709489
1123227.66384,1777788.38475,3838.2008092
1123227.25707,1777793.44441,3838.24007619
1123225.56687,1777789.23682,3838.23148091
1123225.90509,1777784.09145,3838.1888429
1123229.43357,1777792.27753,3838.20441352
1123228.67494,1777784.8832,3838.16137993
1123224.53739,1777792.79799,3838.26666673
1123224.06033,1777798.01829,3838.30311173
1123222.76578,1777794.77227,3838.29687888
1123221.5807,1777791.92601,3838.28929402
1123222.73964,1777788.5824,3838.25566958
1123226.00428,1777797.12691,3838.27680762
1123227.68755,1777814.93011,3838.33367922
1123226.20628,1777810.43112,3838.33682481
1123228.91965,1777810.38121,3838.30210031
1123227.57309,1777805.98373,3838.30229188
1123229.2878,1777805.56438,3838.27806798
1123230.83163,1777810.79491,3838.27640476
1123230.35606,1777816.03125,3838.3000222
1123197.56736,1777888.72115,3838.56117063
1123196.37969,1777891.86343,3838.55791621
1123196.00813,1777886.48713,3838.56998557
1123198.78943,1777885.43579,3838.5637383
