x,y,z
1122733.21221,1778674.14076,3857.2409668
1122813.21221,1778674.14076,3856.26806641
1122893.21221,1778674.14076,3855.40820312
1122973.21221,1778674.14076,3854.58984375
1123053.21221,1778674.14076,3853.78125
1123133.21221,1778674.14076,3853.18408203
1123213.21221,1778674.14076,3852.54541016
1123293.21221,1778674.14076,3851.82958984
1123373.21221,1778674.14076,3850.91748047
1122733.21221,1778594.14076,3857.33081055
1122813.21221,1778594.14076,3856.41113281
1122893.21221,1778594.14076,3855.75
1122973.21221,1778594.14076,3855.02294922
1123053.21221,1778594.14076,3854.2043457
1123133.21221,1778594.14076,3853.47631836
1123213.21221,1778594.14076,3852.79345703
1123293.21221,1778594.14076,3851.90722656
1123373.21221,1778594.14076,3851.05615234
1122733.21221,1778514.14076,3857.37207031
1122813.21221,1778514.14076,3856.58178711
1122893.21221,1778514.14076,3856.11035156
1122973.21221,1778514.14076,3855.58422852
1123053.21221,1778514.14076,3854.70849609
1123133.21221,1778514.14076,3853.96972656
1123213.21221,1778514.14076,3852.9753418
1123293.21221,1778514.14076,3851.8125
1123373.21221,1778514.14076,3850.83569336
1122733.21221,1778434.14076,3857.64990234
1122813.21221,1778434.14076,3856.82324219
1122893.21221,1778434.14076,3856.40039062
1122973.21221,1778434.14076,3856.00244141
1123053.21221,1778434.14076,3855.07666016
1123133.21221,1778434.14076,3853.89160156
1123213.21221,1778434.14076,3852.69726562
1123293.21221,1778434.14076,3851.18676758
1123373.21221,1778434.14076,3850.52587891
1122733.21221,1778354.14076,3857.99462891
1122813.21221,1778354.14076,3857.28344727
1122893.21221,1778354.14076,3856.81030273
1122973.21221,1778354.14076,3856.16235352
1123053.21221,1778354.14076,3854.98852539
1123133.21221,1778354.14076,3853.25952148
1123213.21221,1778354.14076,3851.60522461
1123293.21221,1778354.14076,3850.88793945
1123373.21221,1778354.14076,3850.51879883
1122733.21221,1778274.14076,3858.33569336
1122813.21221,1778274.14076,3857.5534668
1122893.21221,1778274.14076,3856.97485352
1122973.21221,1778274.14076,3856.17431641
1123053.21221,1778274.14076,3854.62036133
1123133.21221,1778274.14076,3852.67089844
1123213.21221,1778274.14076,3851.30004883
1123293.21221,1778274.14076,3850.92016602
1123373.21221,1778274.14076,3850.79467773
1122733.21221,1778194.14076,3858.67700195
1122813.21221,1778194.14076,3857.85253906
1122893.21221,1778194.14076,3857.04248047
1122973.21221,1778194.14076,3855.75341797
1123053.21221,1778194.14076,3854.00854492
1123133.21221,1778194.14076,3852.11352539
1123213.21221,1778194.14076,3851.08129883
1123293.21221,1778194.14076,3851.00146484
1123373.21221,1778194.14076,3850.99536133
1122733.21221,1778114.14076,3859.00170898
1122813.21221,1778114.14076,3858.03930664
1122893.21221,1778114.14076,3857.16821289
1122973.21221,1778114.14076,3855.81542969
1123053.21221,1778114.14076,3853.69506836
1123133.21221,1778114.14076,3851.36621094
1123213.21221,1778114.14076,3850.79614258
1123293.21221,1778114.14076,3850.77270508
1123373.21221,1778114.14076,3850.8059082
1122733.21221,1778034.14076,3859.36523438
1122813.21221,1778034.14076,3858.22851562
1122893.21221,1778034.14076,3857.25463867
1122973.21221,1778034.14076,3855.74853516
1123053.21221,1778034.14076,3853.26123047
1123133.21221,1778034.14076,3851.09912109
1123213.21221,1778034.14076,3850.2199707
1123293.21221,1778034.14076,3850.4074707
1123373.21221,1778034.14076,3850.52880859
1122733.21221,1777954.14076,3859.90161133
1122813.21221,1777954.14076,3858.76123047
1122893.21221,1777954.14076,3857.62670898
1122973.21221,1777954.14076,3855.91992188
1123053.21221,1777954.14076,3853.27954102
1123133.21221,1777954.14076,3850.89770508
1123213.21221,1777954.14076,3850.17016602
1123293.21221,1777954.14076,3850.11328125
1123373.21221,1777954.14076,3850.28344727
1122733.21221,1777874.14076,3860.54174805
1122813.21221,1777874.14076,3859.40795898
1122893.21221,1777874.14076,3858.30004883
1122973.21221,1777874.14076,3856.95581055
1123053.21221,1777874.14076,3853.92382812
1123133.21221,1777874.14076,3851.39404297
1123213.21221,1777874.14076,3850.203125
1123293.21221,1777874.14076,3849.97143555
1123373.21221,1777874.14076,3850.13793945
1122733.21221,1777794.14076,3861.05883789
1122813.21221,1777794.14076,3859.90917969
1122893.21221,1777794.14076,3858.55664062
1122973.21221,1777794.14076,3856.65527344
1123053.21221,1777794.14076,3854.03686523
1123133.21221,1777794.14076,3851.56005859
1123213.21221,1777794.14076,3850.33789062
1123293.21221,1777794.14076,3850.00830078
1123373.21221,1777794.14076,3850.12573242
1122733.21221,1777714.14076,3861.50463867
1122813.21221,1777714.14076,3860.33422852
1122893.21221,1777714.14076,3859.03320312
1122973.21221,1777714.14076,3857.09130859
1123053.21221,1777714.14076,3854.3684082
1123133.21221,1777714.14076,3851.60302734
1123213.21221,1777714.14076,3850.24023438
1123293.21221,1777714.14076,3850.02978516
1123373.21221,1777714.14076,3850.22802734
